day,temperature
1,18
2,18.18
3,18.08
4,18.2
5,18
6,17.66
7,17.3
8,16.74
9,16.08
10,16.16
11,16.14
12,15.7
13,15.26
14,14.94
15,14.38
16,14.04
17,14
18,13.94
19,13.9
20,13.72
21,13.44
22,13.34
23,13.36
24,13.02
25,12.5
26,12.48
27,12.72
28,12.86
29,12.5
30,12.02
31,11.6
32,11.44
33,11.1
34,10.42
35,10.04
36,10.36
37,10.42
38,10.22
39,9.94
40,9.24
41,8.78
42,8
43,7.82
44,7.68
45,7.96
46,8.02
47,8.34
48,8.28
49,8.24
50,8.12
51,8.02
52,7.98
53,7.72
54,7.36
55,6.94
56,6.94
57,6.72
58,6.6
59,6.16
60,5.9
61,5.42
62,4.86
63,4.62
64,4.58
65,4.72
66,4.9
67,4.94
68,4.88
69,4.28
70,3.44
71,3.52
72,3.56
73,3.2
74,2.92
75,3.14
76,3.5
77,3.82
78,3.76
